,DGS10_z,DGS2_z,FEDFUNDS_z,CPIAUCSL_z,UNRATE_z,BAMLH0A0HYM2_z,A191RL1Q225SBEA_z,INDPRO_z,PAYEMS_z,CP_z,UMCSENT_z,VIXCLS_z,M2SL_z,USEPUINDXD_z,PNFIC1_z,YC_raw,YC_z,CPI_YoY,CPI_YoY_z,RFF_raw,RFF_z
2012-08-31,-2.4093408576754745,-1.2261848267888984,-0.5010290776769886,1.8139282280936804,-0.02237052652195284,-0.5520804161182915,0.2824918106491927,1.2654588937487663,1.831878803854152,1.5360889046500343,0.6300481373954839,-0.8530262786270343,1.7926604677232494,1.7156184448565088,1.620798253885281,1.35,-1.1420627749239913,1.6859349154821235,-0.28053906285799163,-1.5559349154821236,-0.09735509473014294
2012-09-30,-2.2513855623272985,-1.2051110825643638,-0.4739127965013778,1.9238213985097519,-0.23581630537275866,-0.6289799696089847,-0.08540756739094044,1.204503009953858,1.8030676424292054,1.545569530759136,1.3380997336468878,-1.0732615411806965,1.7955864159071657,1.014015415177958,1.5332270749609758,1.42,-1.0894715407968674,1.9497168982819613,-0.12747028091292367,-1.8097168982819611,-0.22290874391170393
2012-10-31,-2.1138590399994626,-1.148428925177955,-0.4376114110464354,1.9490634043225672,-0.27775177121157796,-0.6686490846086768,-0.07662943967023142,1.268411608508896,1.7632808256193948,1.487232176525207,1.959092219625036,-0.576940785802889,1.7742715002006961,-0.12761507977623077,1.495850248015794,1.42,-1.176117810489717,2.1556780595369363,-0.0007396807597835788,-1.9956780595369363,-0.316467856163925
2012-11-30,-2.1573144192523346,-1.1632024867741042,-0.41821136656835833,1.8109284141214423,-0.38858188275965616,-0.6624166381443354,-0.0678272679522408,1.361117441211737,1.7312330537987222,1.4327369207800114,1.8206795599775325,-0.9681168143967153,1.7572547753760388,1.4385819762931542,1.4602153823411963,1.37,-1.3153234982166633,1.7960197033926262,-0.1783067706959608,-1.6360197033926263,-0.06050863477063678
2012-12-31,-1.9390578680090362,-1.1502557910279556,-0.4001908891728147,1.7368812908546856,-0.3011309960634964,-0.7446158460981434,-0.08907007851384774,1.4270237056061665,1.7569983549487311,1.2761226635025382,0.1666653140400729,-0.6049703450759588,1.8170677134954372,1.341772327698219,1.5744648564314951,1.53,-1.053634717937221,1.7595049796895523,-0.17871456796185065,-1.5995049796895524,-0.01713513465780619
2013-01-31,-1.6541401867170145,-1.1248549737544595,-0.4113698242231012,1.7391879586645282,-0.27962040092435986,-0.8391680413736986,-0.07872562941306309,1.3752672895496183,1.745116024319765,1.234929083145008,0.3215026095703594,-1.1350997114020291,1.732489912717652,-0.3920436467338851,1.538715248909975,1.75,-0.6311944621315352,1.684061762098299,-0.19947958394943316,-1.5440617620982988,0.033770784441792705
2013-02-28,-1.7489915860329557,-1.1250665426989745,-0.3741608797173955,1.8567064632437245,-0.5577073256782413,-0.8138655994564219,-0.06833754038949812,1.5134967418541294,1.7926547372356736,1.195698819474554,0.9328743727876307,-0.9153167915563635,1.6513799279696648,1.118937213294562,1.5045619970234307,1.64,-0.838360644473753,2.0181404902574807,0.012891008950833263,-1.8681404902574807,-0.17796857156583543
2013-03-31,-1.7306678679926077,-1.1134346534085104,-0.3649902656149045,1.6834563478896263,-0.7796444353814812,-0.826616961680649,1.010125163930263,1.6164639308163262,1.7582818807086524,1.0988560188569991,1.0596560620874647,-1.302179808527379,1.632561248092977,-0.03584360390956197,1.6662819866516012,1.62,-0.8670195586612466,1.5187472411246183,-0.2566147978590319,-1.3787472411246182,0.15399746908738499
2013-04-30,-1.8555346572962046,-1.1196402144166058,-0.3181643392648765,1.5475040609980146,-0.7844287750521215,-0.8951161097925322,0.9772778966152497,1.517312415042975,1.7437293820068378,1.0629512613463596,0.6748231117697663,-1.1209215657432572,1.5769823237345129,-1.0720550838528908,1.622702592953518,1.48,-1.1434128904545855,1.138808047576867,-0.45736781281946615,-0.9888080475768669,0.4106081106907662
2013-05-31,-1.3808001816219972,-1.0623205453434428,-0.37007462004916925,1.5028180229167682,-0.9524532689856156,-0.8628530531265376,0.9454836825347088,1.4819334504912887,1.7392079334280552,1.028395407859204,1.847254481713819,-0.6647658401771065,1.5358125378767167,-1.2090810371001692,1.5814188938976,1.86,-0.4138196211566138,1.3903888279197085,-0.28520898230866104,-1.2803888279197084,0.20399620842228205
2013-06-30,-1.0157218995311665,-1.0180802646036233,-0.39331063956030554,1.5239602326189956,-1.0376213242714127,-0.6912201223671673,0.03840862445084072,1.4870341226490453,1.719159406872582,0.9703961224995689,1.6830884214152737,-0.5384423647531555,1.5313230500004344,-0.40312914655261706,1.60510647541295,2.16,0.16251499009925158,1.7157935271568725,-0.0586834699441102,-1.6257935271568724,-0.04513315672662312
2013-07-31,-0.922297545206984,-1.0358288578135806,-0.38140416586500553,1.52895600093589,-1.3165645458351485,-0.8063561100067971,0.04532646635364682,1.280130720101064,1.67061938003664,0.9393975946142394,1.6979605550544439,-1.0424464365448216,1.5054545060576792,-0.9769449137330457,1.564063943118898,2.29,0.40417996147437907,1.885471805415806,0.08808569421674002,-1.7954718054158059,-0.18287182019437426
2013-08-31,-0.7341250060100573,-0.9767503437116968,-0.4380003763777019,1.5460298369725667,-1.4916202080228402,-0.7731298257270751,0.05227084401730367,1.46874730559129,1.6975073114613068,0.9093272891026817,1.1958943678211957,-0.4266623109946763,1.5083587048857225,-0.5966925522480897,1.525085591278561,2.3899999999999997,0.5853093609715485,1.538809488600279,-0.1014354755457218,-1.458809488600279,0.029358756393536797
2013-09-30,-0.8578646644638104,-1.002558369806667,-0.6580434651627411,1.4977457983246436,-1.5756606040482437,-0.7288329866200421,0.7851159926580322,1.6151045585385655,1.6888186440518684,1.0093598832889639,0.5119340084418729,-0.46345416561227964,1.516463478309063,0.17888986750511876,1.6917125767646128,2.31,0.4030462820390823,1.0947341081747997,-0.3769376650959597,-1.0147341081747996,0.31954853324517934
