,port_allocation,shares_owned,port_value,snp_price,snp_value,snp_return
2019-04-30,"{'IVW': 356462.9297887101, 'PDP': 503938.9222438268, 'VYM': 381808.88740233524, '^SPX': 708957.444208666, 'SP5MV': 158486.70797832785}","{'IVW': 8424.131371237432, 'PDP': 8717.968665541293, 'VYM': 5295.83724237991, '^SPX': 240.6647448789417, 'SP5MV': 19.09892602953988}",2109654.891621866,2945.830078125,1966364.3570426507,0.9663643570426508
2019-07-31,"{'IVW': 357646.0258538686, 'PDP': 503798.9057142523, 'VYM': 405235.21368876885, '^SPX': 683458.1007994487, 'SP5MV': 205490.80036174663}","{'IVW': 8313.799612701823, 'PDP': 8298.055523012285, 'VYM': 5585.3797652651365, '^SPX': 229.31912295505384, 'SP5MV': 24.16015316950095}",2155629.046418085,2980.3798828125,1989426.6188427361,0.9894266188427361
2019-10-31,"{'IVW': 376634.7693192461, 'PDP': 545306.0605688408, 'VYM': 491085.9909207489, '^SPX': 623620.0059072374, 'SP5MV': 146854.83425093014}","{'IVW': 8641.946502401657, 'PDP': 9073.275528425995, 'VYM': 6585.74030741251, '^SPX': 205.30293850253767, 'SP5MV': 16.944508331315692}",2183501.6609670036,3037.56005859375,2027594.828346948,1.027594828346948
2020-01-31,"{'IVW': 398594.2469701969, 'PDP': 502277.77306021197, 'VYM': 622492.3179897834, '^SPX': 581911.2800942132, 'SP5MV': 216427.35284904027}","{'IVW': 8404.740082839597, 'PDP': 7726.856071353527, 'VYM': 8125.079912948512, '^SPX': 180.40851601311087, 'SP5MV': 23.615220164351665}",2321702.9709634455,3225.52001953125,2153059.555753722,1.153059555753722
2020-04-30,"{'IVW': 289597.39194677107, 'PDP': 291073.3806542948, 'VYM': 711329.2476443556, '^SPX': 199979.30762626303, 'SP5MV': 604466.7115876923}","{'IVW': 6392.025358752136, 'PDP': 4861.002103602195, 'VYM': 10795.252578240945, '^SPX': 68.6640751263022, 'SP5MV': 74.28098456759109}",2096446.039459377,2912.429931640625,1944069.500983376,0.9440695009833762
2020-07-31,"{'IVW': 332709.7643732603, 'PDP': 460809.16349944455, 'VYM': 513645.91268612084, '^SPX': 386160.90034744644, 'SP5MV': 634249.3963944616}","{'IVW': 6215.386762774293, 'PDP': 6356.5710924472905, 'VYM': 7411.070699736429, '^SPX': 118.0515806553342, 'SP5MV': 71.35963110039206}",2327575.1373007335,3271.1201171875,2183497.9735615766,1.1834979735615767
2020-10-31,"{'IVW': 492786.98640760675, 'PDP': 399251.7858164336, 'VYM': 506782.17237619933, '^SPX': 367521.9419352028, 'SP5MV': 566931.6950497252}","{'IVW': 9085.665269354424, 'PDP': 5359.920894953119, 'VYM': 7400.868996636788, '^SPX': 112.39340735836838, 'SP5MV': 64.30064286270162}",2333274.581585168,3269.9599609375,2182723.560293296,1.182723560293296
2021-01-31,"{'IVW': 579846.8323229185, 'PDP': 531169.7256477819, 'VYM': 472881.29865838, '^SPX': 419781.4534509403, 'SP5MV': 620404.0969577893}","{'IVW': 9433.387918286027, 'PDP': 6281.393627787428, 'VYM': 5983.3764597523095, '^SPX': 113.01947492748076, 'SP5MV': 65.39766418434654}",2624083.4070378095,3714.239990234375,2479283.9154347884,1.4792839154347885
2021-04-30,"{'IVW': 702966.7557524075, 'PDP': 749651.7145152402, 'VYM': 374751.8395132959, '^SPX': 578301.225405394, 'SP5MV': 472102.25431750645}","{'IVW': 10425.815337792183, 'PDP': 8672.616343076103, 'VYM': 4134.559913689019, '^SPX': 138.31086423439618, 'SP5MV': 45.14558250695985}",2877773.789503844,4181.169921875,2790963.255540815,1.7909632555408153
2021-07-31,"{'IVW': 697353.0132405887, 'PDP': 769690.7199446218, 'VYM': 507193.8518186206, '^SPX': 615074.2784772075, 'SP5MV': 443920.16337392136}","{'IVW': 9519.828632007584, 'PDP': 8511.543730240832, 'VYM': 5466.198601686872, '^SPX': 139.9403701432297, 'SP5MV': 40.592738936619256}",3033232.0268549602,4395.259765625,2933869.881785456,1.9338698817854563
