,port_allocation,shares_owned,port_value,snp_price,snp_value,snp_return
2019-04-30,"{'IVW': 356463.0093596262, 'PDP': 503939.03473485564, 'VYM': 381808.97263106564, '^SPX': 708957.6024646545, 'SP5MV': 158486.7433562914}","{'IVW': 8424.131732813028, 'PDP': 8717.970036272622, 'VYM': 5295.837864115787, '^SPX': 240.66479860097735, 'SP5MV': 19.098930292869706}",2109655.3625464933,2945.830078125,1966364.3570426507,0.9663643570426508
2019-07-31,"{'IVW': 357646.08523653366, 'PDP': 503798.98936378147, 'VYM': 405235.28097302536, '^SPX': 683458.2142791479, 'SP5MV': 205490.83448093286}","{'IVW': 8313.803204809743, 'PDP': 8298.056379419531, 'VYM': 5585.379517971313, '^SPX': 229.31916103063605, 'SP5MV': 24.16015718099326}",2155629.4043334215,2980.3798828125,1989426.6188427361,0.9894266188427361
2019-10-31,"{'IVW': 376634.8500079866, 'PDP': 545306.1773930504, 'VYM': 491086.09612906555, '^SPX': 623620.1395091162, 'SP5MV': 146854.86571252788}","{'IVW': 8641.94911023793, 'PDP': 9073.276896347345, 'VYM': 6585.739696865687, '^SPX': 205.30298248582565, 'SP5MV': 16.94451196144001}",2183502.128751747,3037.56005859375,2027594.828346948,1.027594828346948
2020-01-31,"{'IVW': 398594.3521876416, 'PDP': 502277.9056471326, 'VYM': 622492.4823098948, '^SPX': 581911.4337020948, 'SP5MV': 216427.40997965165}","{'IVW': 8404.741625401559, 'PDP': 7726.856297253696, 'VYM': 8125.080439502254, '^SPX': 180.40856363578277, 'SP5MV': 23.615226398092215}",2321703.5838264152,3225.52001953125,2153059.555753722,1.153059555753722
2020-04-30,"{'IVW': 289597.429875033, 'PDP': 291073.4187758654, 'VYM': 711329.3408063893, '^SPX': 199979.33381733988, 'SP5MV': 604466.7907540535}","{'IVW': 6392.025657710452, 'PDP': 4861.002120888097, 'VYM': 10795.256491940734, '^SPX': 68.66408411916295, 'SP5MV': 74.28099429609252}",2096446.3140286813,2912.429931640625,1944069.500983376,0.9440695009833762
2020-07-31,"{'IVW': 332709.80560304323, 'PDP': 460809.22060345474, 'VYM': 513645.97633772274, '^SPX': 386160.94820095657, 'SP5MV': 634249.4749913882}","{'IVW': 6215.386647140967, 'PDP': 6356.571880161011, 'VYM': 7411.073249742248, '^SPX': 118.05159528442407, 'SP5MV': 71.35963994336095}",2327575.425736565,3271.1201171875,2183497.9735615766,1.1834979735615767
2020-10-31,"{'IVW': 492787.0747019154, 'PDP': 399251.85735172447, 'VYM': 506782.2631780727, '^SPX': 367522.0077853504, 'SP5MV': 566931.7966287918}","{'IVW': 9085.66753628371, 'PDP': 5359.920208355399, 'VYM': 7400.8711472583445, '^SPX': 112.39342749627477, 'SP5MV': 64.30065438366498}",2333274.999645855,3269.9599609375,2182723.560293296,1.182723560293296
2021-01-31,"{'IVW': 579846.9298987789, 'PDP': 531169.815032323, 'VYM': 472881.3782342215, '^SPX': 419781.52409120987, 'SP5MV': 620404.2013585727}","{'IVW': 9433.390091163954, 'PDP': 6281.39411809171, 'VYM': 5983.377466627011, '^SPX': 113.019493946249, 'SP5MV': 65.39767518937924}",2624083.8486151057,3714.239990234375,2479283.9154347884,1.4792839154347885
2021-04-30,"{'IVW': 702966.813704093, 'PDP': 749651.7763155743, 'VYM': 374751.870407361, '^SPX': 578301.2730798116, 'SP5MV': 472102.293237016}","{'IVW': 10425.81855670432, 'PDP': 8672.617823510333, 'VYM': 4134.560602557481, '^SPX': 138.31087563656794, 'SP5MV': 45.14558622870427}",2877774.026743856,4181.169921875,2790963.255540815,1.7909632555408153
2021-07-31,"{'IVW': 697353.1289183052, 'PDP': 769690.8476217998, 'VYM': 507193.93595251755, '^SPX': 615074.3805064332, 'SP5MV': 443920.23701190646}","{'IVW': 9519.829219660898, 'PDP': 8511.546578364341, 'VYM': 5466.199058970404, '^SPX': 139.94039335669856, 'SP5MV': 40.59274567018928}",3033232.5300109624,4395.259765625,2933869.881785456,1.9338698817854563
